,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,2010,Cardano,ADA,cardano,1239,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-08-31T23:34:00.000Z,0.34508324575321364,121804814.46690887,-59.1367,-0.19432682,-0.67408854,-12.41653201,-11.66421089,-17.48816908,-22.7052122,12409415421.034204,0.5993,15528746058.89,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
11,5805,Avalanche,AVAX,avalanche,770,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,404929418.07289064,444932518.07289064,False,,12,,,,2024-08-31T23:34:00.000Z,22.72185579414673,120865397.75216877,-50.1746,-0.41571837,-2.39886888,-15.9283426,-11.07972864,-20.79489571,-35.06042994,9200747844.259974,0.4444,16263139177.96,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
12,5994,Shiba Inu,SHIB,shiba-inu,863,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269849456374.6,589518731477139.8,False,,13,,,,2024-08-31T23:34:00.000Z,1.381585858679525e-05,100585841.06572267,-47.7629,-0.01992775,-1.33677184,-11.20097859,-12.15002816,-19.89464352,-43.88211637,8141268909.551397,0.3932,8144707428.36,,2024-08-31T23:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-31 23:36:32.296725
13,1975,Chainlink,LINK,chainlink,1836,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-08-31T23:34:00.000Z,11.014376831368283,111813505.17699222,-44.924,-0.29154984,-0.99669629,-10.45821575,-14.58004668,-23.73575581,-39.33165147,6697842225.710911,0.3236,11014376831.37,,2024-08-31T23:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-08-31 23:36:32.296725
14,1831,Bitcoin Cash,BCH,bitcoin-cash,917,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19754562.5,19754562.5,False,,15,,,,2024-08-31T23:34:00.000Z,322.29865610058783,103361502.8490455,-36.787,-0.20420916,-1.01092521,-11.07368641,-21.55881782,-15.80670212,-29.62600585,6366868945.605068,0.3075,6768271778.11,,2024-08-31T23:34:00.000Z,,,,,,2024-08-31 23:36:32.296725
0,1,Bitcoin,BTC,bitcoin,11656,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19747784.0,19747784.0,False,,1,,,,2024-08-31T23:37:00.000Z,58971.93877856674,12396132567.785233,-61.6249,-0.10001814,-0.35206289,-7.84099437,-9.40098211,-4.89131113,-13.06417393,1164565109060.3599,56.2495,1238410714349.9,,2024-08-31T23:37:00.000Z,,,,,,2024-08-31 23:37:32.523746
1,1027,Ethereum,ETH,ethereum,9254,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120303365.0220988,120303365.0220988,True,,2,,,,2024-08-31T23:36:00.000Z,2513.669786226404,6679285675.527436,-57.0351,-0.19105268,-0.60991988,-9.00370315,-21.44219498,-26.48766071,-33.49925286,302402933837.41614,14.6063,302402933837.42,,2024-08-31T23:36:00.000Z,,,,,,2024-08-31 23:37:32.523746
2,825,Tether USDt,USDT,tether,96092,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118228802316.48785,120251893183.6721,True,,3,,,,2024-08-31T23:35:00.000Z,0.9999403336492249,24616354159.349323,-53.9845,-0.00818763,0.01225966,-0.05494493,0.08895586,0.10008387,0.03599993,118221748035.29712,5.7093,120244718192.03,,2024-08-31T23:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-31 23:37:32.523746
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145934970.87345693,145934970.87345693,False,,4,,,,2024-08-31T23:35:00.000Z,532.3244617295102,1282807709.1292226,-19.7551,-0.27746414,-0.6688312,-8.2709359,-7.27469753,-8.11411785,-11.71855799,77684754817.7247,3.7528,77684754817.72,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466455627.84301144,583512487.3489728,True,,5,,,,2024-08-31T23:35:00.000Z,135.10178600675408,899940122.104804,-66.4032,-0.49207319,-2.31003176,-15.3903129,-19.10540749,-12.32859842,-17.32772973,63018988414.49265,3.0439,78833579198.09,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
